Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts
Mil Preguntas,Mil Preguntas,Q' Lokura,4/11/2024,3385,23.6,11700613,954,5000862,67,27516261,109140,,,,,1,88,,,,,15738
La ï¿½ï¿½ltima Vez (Yo Te Per,La ï¿½ï¿½ltima Vez (Yo Te Perdï¿½ï¿½),,5/2/2024,3381,23.6,,,,,,,,,,,,,,,,,1606561
Girls Need Love (with Drake) - Remix,Last Day Of Summer,Summer Walker,10/19/2018,3375,23.6,625999943,100418,27719646,73,,,356553,51219101,415561032,,50,508,7,123803373,45985,28120837,3138768
Ball If I Want To,Ball If I Want To,DaBaby,6/18/2021,3418,23.5,216934691,65171,14450198,60,70627607,1101053,245749,133687791,1016363322,41724867,33,8865,12,46773968,16072,8702695,603507
P*$$Y Fairy (OTW),P*$$Y Fairy (OTW),Jhenï¿½ï¿½,1/17/2020,3394,23.5,188774618,39746,10892506,63,175882087,1473683,110353,13089939,91057232,23752121,19,83735,8,114657478,67868,22199120,
As It Was,As It Was (Official Video),Harry Styles,3/31/2022,3410,23.5,3299082422,1,1,,,,,,,,,,,,,,
dangerous,dangerous,21 Savage,1/10/2024,3407,23.5,47098347,15845,17899427,,1767046,28517,,,,,7,198,12,1307483,186,,85831
Ensï¿½ï¿½ï¿½ï¿½ame,Un Verano Sin Ti,Bad Bunny,5/6/2022,3398,23.5,348372811,52893,6523487,69,106600063,684118,25900,16462263,154007395,99252847,12,1956,,8024673,1451,,400999
Olha a Explosï¿½,O Melhor do Brasil,MC Kevinho,6/14/2018,3395,23.5,,1,45,,1295405860,9977052,,,,147328763,,,,,,,
Cake By The Ocean - Cover,Tik Toker Popular Playlist,MUSIC LAB JPN,6/1/2023,3414,23.5,1621055370,1,48,,,,,,,,,,,,,,
Bellaquita,Bellaquita,Dalex,9/6/2019,3396,23.5,207093355,33813,5671029,55,683691095,3379761,333046,52979754,534205330,5645399,17,2393,6,15446689,6361,,361062
Limbo,Prestige,Daddy Yankee,1/1/2012,3400,23.5,508914869,86239,25204530,70,1529347092,6057759,55811,8937199,73318392,341710178,48,12567,36,200834379,158798,330708,5615561
Ah-Bop,Ah-Bop,Gene Ess,10/7/2022,3390,23.5,,1,30,,359775065,320202,,,,,,1,,,,,
Tu Perfume,Tu Perfume,Banda MS de Sergio Lizï¿½ï¿½r,2/14/2024,3416,23.5,18946480,863,5681798,,48584653,212355,,,,140462131,1,2842,6,3210010,989,,124485
Chamkeela Angeelesi,"Chamkeela Angeelesi (From ""Dasara"") (Telugu)",Santhosh Narayanan,3/8/2023,3417,23.5,40358575,1358,1211901,55,244162762,1098125,,,,1573017,3,8,6,,,,34515
Hayloft II,Inside (Deluxe),Mother Mother,1/28/2022,3408,23.5,216252006,55274,8810602,70,164171809,2843492,1195,345600,3837839,90730940,13,7264,13,2183502,4605,,565511
Tormenta (feat. Bad Bunny),Cracker Island,Gorillaz,2/24/2023,3391,23.5,197096592,36980,10871819,62,33253817,624663,44998,23983331,327222300,363746,14,14389,20,2541495,973,,509357
DJ Got Us Fallin' In Love,Europa FM Presenta Europa Baila,USHER,1/1/2010,3402,23.5,841183589,178587,102898525,76,485860020,3227301,27671,7733399,64589027,188887432,112,2137,18,793976863,382226,1444503,6644459
DIE,KMT,Gazo,7/1/2022,3393,23.5,168211673,38142,4366481,62,112307349,619364,380000,66718830,687903274,,40,10122,13,2128,,,874725
You and Me,Leo,Shubh,1/5/2024,3406,23.5,52919662,3838,3967859,67,58026963,716085,,,,29757537,11,113,5,22851,,,161254
Please Don't Fall In Love With Me,Please Don't Fall In Love With Me,Khalid,4/5/2024,3415,23.5,32679509,4502,36934463,,5253434,136619,,,,446313,34,1802,33,4267828,549,,83997
Aullando,"Los Campeones del Pueblo ""The Big Leagues""",Wisin & Yandel,12/14/2018,3403,23.5,407025386,32596,12353977,62,742853552,2408323,41816,1175713,16922902,116399134,31,8549,11,87201744,19602,,1862363
El Incomprendido,El Incomprendido,Farruko,9/30/2021,3412,23.5,186233910,58393,11050675,55,114487705,1160464,51939,5919470,95822904,6639701,46,51359,19,22544548,5093,,2989432
23,"23 (feat. Miley Cyrus, Wiz Khalifa & Juicy J) - Single",Mike WiLL Made-It,1/1/2013,3409,23.5,339514083,62118,14714742,63,1077541932,5697309,791577,18838361,164169789,149601135,26,5802,20,205205235,501321,,4621402
Guay,Guay,Ozuna,4/18/2024,3392,23.5,25134764,3004,39535866,73,7120990,109558,,412,3319,2563216,22,2941,21,955530,51,94933,104141
Poesia Acï¿½ï¿½stica #6: Era uma,Poesia Acï¿½ï¿½stica #6: Era uma,Pineapple StormTv,12/24/2018,3397,23.5,290101322,29494,7278455,66,895286211,5619411,,,,5780216,7,304,9,,,,305405
Swang,SremmLife 2 (Deluxe),Rae Sremmurd,8/12/2016,3405,23.5,658051344,128507,19018702,66,502542395,3470603,310468,28258632,172756577,33622630,65,4896,,138182258,127406,,3394835
Broke Boys,Her Loss,Drake,11/4/2022,3399,23.5,143220845,57819,6493900,61,17892665,186286,8535,2306269,26577093,,4,57,12,11161976,2938,,333934
SMOKE IT OFF!,SMOKE IT OFF!,Lumi Athena,11/22/2022,3389,23.5,185817317,28912,4118167,69,115720244,1632608,125310,30612777,237465039,20301,1,,,661275,2151,,675371
Night Bus,Night Bus,KIDS,12/9/2022,3401,23.5,5316,9,219,,307185270,750059,,,,,,1,,,,,3
bad idea right?,bad idea right?,Olivia Rodrigo,8/11/2023,3413,23.5,432831676,2667,913630,,,,,,,,14,98159,,,,,
What They Want,What They Want,Russ,7/28/2016,3404,23.5,569767392,102907,12253671,68,468513022,3937324,539686,137326889,1026583434,16982165,65,715,,301411280,105587,,3181996
All of Me - Radio Edit,"ıı3 Greatest Hits, Vol. 66",John Legend,6/27/2014,3411,23.5,2379787239,362,74085,20,11365291,74275,,,,,4,1684,,,,162140441,
Corazï¿½ï¿½n F,Corazï¿½ï¿½n Frï¿½ï¿½o,Jasiel Nuï¿½ï,10/12/2023,3420,23.4,79485128,6458,10455834,,53649480,398179,5556,2005258,13574747,,4,,5,2343674,370,2270240,399160
Take Care,Take Care (Deluxe),Drake,11/15/2011,3431,23.4,622498643,110679,26798475,70,454602464,2153347,23770,11732654,82945578,164634951,93,180,24,499293917,876303,,5506262
A Sky Full of Stars,Los Nï¿½ï¿½meros 1 De 40 (El Disco De Los ï¿½ï,Coldplay,1/1/2014,3421,23.4,1490987063,203270,92755562,81,395515510,2684342,971368,157727782,1583375110,8447636,12,167558,39,,,,
Smack That - Dirty,Smack That (feat. Eminem),Akon,1/1/2006,3422,23.4,1023825031,204464,51055833,80,1251716030,8866662,,279003,1957205,397519323,37,28439,25,256334581,398868,,5885853
Ramen & OJ,Ramen & OJ,Joyner Lucas,4/30/2021,3423,23.4,260117606,92337,16647767,63,104323081,1049129,10100,1200633,12058693,192238093,18,1030,6,17681699,10893,,1320861
Arhbo [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Arhbo (Music from the Fifa World Cup Qatar 2022 Official Soundtrack) [feat. FIFA Sound] - Single,Ozuna,8/19/2022,3427,23.4,49549021,10601,3845428,33,119899690,1194687,1100000,183128923,3499011841,75508012,5,10656,3,118911,689,,1090933
MEGAVERSE,ROCK-STAR,Stray Kids,11/10/2023,3426,23.4,71016852,6500,2233993,,68206031,1896395,,1691624,6003993,46394991,1,77,,556367,1174,510338,120216
Come See Me,Come See Me - Single,Rod Wave,9/1/2023,3428,23.4,28876525,6626,1303808,,22591925,181723,22448,3568216,28824932,174302192,8,52,12,3335211,3246,9020887,102901
Cool With You,NewJeans 2nd EP 'Get Up',NewJeans,7/21/2023,3425,23.4,165916276,17423,3301778,70,52705822,887461,43015,13217486,92644726,9441934,6,4205,30,570444,456,861470,139260
Dark Matter,Dark Matter,Pearl Jam,2/13/2024,3430,23.4,11776885,2274,7617471,,1925268,46321,,,,3129371,21,48334,21,1653373,573,,154162
Shameless,Shameless,Camila Cabello,9/5/2019,3419,23.4,524463179,59700,20404459,76,297234963,4259163,330599,142205855,1255373850,95023763,35,3430,14,30216738,24668,6169230,4462173
New Freezer (feat. Kendrick Lamar),New Freezer (feat. Kendrick Lamar),Rich The Kid,9/25/2017,3424,23.4,317302250,59316,12635825,54,113727264,1143446,169932,44327209,286048019,4852424,63,7340,6,87899940,48970,74265281,2007712
GTA.mp3,GTA.mp3,Emilia,9/7/2023,3429,23.4,103722826,13322,11067087,,55495034,291171,90830,8610012,81845600,413657,16,7582,17,152649,,,105207
Dembow,Dembow,Danny Ocean,12/8/2017,3441,23.3,579189526,60397,11805084,65,828853696,3086157,84450,21202350,158504854,199705679,34,5406,12,6723858,7832,,1619550
WAKE UP!,WAKE UP!,MoonDeity,8/5/2022,3435,23.3,152307497,35409,17925243,67,154243444,1898082,20600,13109944,120806447,21795577,10,,,612716,648,,1106286
ECHOES: Cala Boca Menino,Echoes,Fire! Orchestra,4/14/2023,3438,23.3,11960,69,4543,2,234911523,836587,,,,,,7,,,,,
Dembow,Dembow,Danny Ocean,12/8/2017,3441,23.3,579189526,60397,11805084,65,828853696,3086157,84450,21202350,158504854,199705679,34,5406,12,6723858,7832,,1619550
Down Bad,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,3437,23.3,210385853,418,1952536,,,,,,,,69,7,,,,,
Fast,Death Race For Love (Bonus Track Version),Juice WRLD,3/8/2019,3450,23.3,392674468,73288,11414109,62,119252275,1233579,157773,6752332,39728302,45827043,27,2,7,14217098,31942,45171143,780444
Come and See Me (feat. Drake),Come and See Me (feat. Drake),PARTYNEXTDOOR,3/23/2016,3436,23.3,609032900,93938,19349153,66,176053242,1338088,29280,6397249,38686929,45597343,27,7568,19,,,87762940,2529532
Myself,COSMIC,Bazzi,4/12/2018,3443,23.3,279105227,46745,6489845,59,138981651,2563777,5018008,375872882,4596936089,21471340,16,625,3,37479569,28483,,2446779
Muï¿½ï¿½,Muï¿½ï¿½ecas - Si,TINI,1/12/2023,3440,23.3,162551255,20554,11413592,57,159174916,713718,,,,5714999,13,6446,29,355966,99,,
"BESAME (feat. Tiago PZK, Khea & Neo Pistea) - RemixBESAME (feat. Tiago PZK, Khea & Neo Pistea) [Remix]",Bhavi,4/16/2024,3444,23.3,66225764,4531,17931371,78,,,,,,,6,332,9,,,,103512
LOCO,CRAZY IN LOVE,ITZY,9/24/2021,3451,23.3,259023338,21380,4116327,63,381462973,6675316,134789,161181653,909400567,140676480,13,1395,19,1484382,1278,,
Life's A Mess (feat. Halsey),Life's A Mess (feat. Halsey),Juice WRLD,7/6/2020,3442,23.3,319737440,63731,10636802,61,108796209,1558911,8422,1394175,11172071,436544,20,99,6,31215577,10159,28894710,375289
Do I Wanna Know?,Do I Wanna Know?,Arctic Monkeys,1/1/2013,3432,23.3,2188592950,11669,2167817,46,1719916219,10641718,,,,276011994,7,86851,9,,,,
Have Mercy,Have Mercy,Chlï¿½,9/10/2021,3445,23.3,202781631,32888,14372026,60,1271445,21984,673047,323827842,2410282562,4761746,44,119001,35,67145429,19010,4649990,1690643
Cake By The Ocean - Cover,FOLIAGE PLANT selected by KIKO,epi records,2/16/2023,3537,23.3,1614203949,1,,,,,,,,,,,,,,,
Bad Decisions (with BTS & Snoop Dogg),Bad Decisions (with BTS & Snoop Dogg),benny blanco,8/5/2022,3449,23.3,259730016,21452,21180923,62,102357127,3788945,168727,98491449,597069529,3913529220,37,86708,25,9835348,1046,,858779
Yebbaï¿½ï¿½ï¿½s Hear,Certified Lover Boy,Drake,9/3/2021,3448,23.3,349849639,81889,12970647,71,59701089,650033,96428,61939371,352584596,21631984,13,12,3,6377789,7857,,1419180
Drums (Feat. Kim Petras),Drums (Feat. Kim Petras),James Hype,10/6/2023,3434,23.3,48573000,12116,42703266,,10575780,130509,583,184636,7526758,49677185,26,49396,17,424106,177,,773165
El Avioncito,El Avioncito,Giblack,10/28/2021,3447,23.3,11569095,3147,419656,41,134929794,751052,2517500,382042979,5210740180,3330686,4,1816,,31084,610,,226882
Handle On You,Handle On You,Parker McCollum,8/5/2022,3439,23.3,103858433,17543,4890850,63,23571548,127913,5710,2180810,32959012,349600,18,203279,16,35876540,3647,,481957
"Non, je ne regrette rien",Edith Piaf Essentials : The Greatest Hits of the Most Popular French Singer,ııdith Piaf,5/7/2024,3433,23.3,168750749,1,1,19,,,,,,,,,,,,,
Montagem - Pr Funk,Montagem - Pr Funk - Single,BARATO NATION,12/27/2023,3867,23.2,332936854,6,22,,,,,,,,,,,,,,
Tunnel Vision,Tunnel Vision,Kodak Black,2/17/2017,3477,23.2,654828389,139540,20919688,68,97450066,884775,122425,10413135,86649600,949109,75,7257,9,312321561,209828,,3010996
White Tee (with NO1-NOAH),Life On Earth - EP,Summer Walker,7/10/2020,3474,23.2,277094824,75966,16182804,63,118824965,1513533,299390,71831644,537618525,86473375,18,868,,8138349,14923,13393881,3474234
ıııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııı,ıııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııııı - Single,TaitosmitH,3/26/2024,3462,23.2,2759335,248,177260,,40796081,268043,,,,,4,55,,,,,17660
I'm Not The Only One,I'm Not The Only One,Sam Smith,9/11/2014,3458,23.2,93040974,10520,1711940,16,1663836563,6794854,,,,1467134947,4,82591,,68684032,22433,,
ıııııııııııııııııııııııııııııııııııııııııııııııııııııı,ıııııııııııııııııııııııııııııııııııııııııııııııııııııı,ııııııııı ııııııııııııııııııııı,10/5/2023,3455,23.2,3872,5,3,,,,917800,4413567,135542729,,,,,,,,146
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,Chris Jedi,5/20/2022,3471,23.2,411006233,63319,20006639,67,6186421,60126,,,,,29,19221,21,18018765,2734,,1029664
Too Easy,Too Easy,Gunna,9/24/2021,3452,23.2,133039977,69577,7803085,54,21842375,250732,33573,29171201,241202185,27878588,17,19365,9,15478634,3139,13914231,216542
Walking On A Dream,Walking On A Dream,Empire Of The Sun,1/1/2008,3476,23.2,923637058,248136,72561268,74,326484288,2513872,729463,158541861,1346152082,31766857,180,62766,62,366981662,229532,,9554869
Take Two,Take Two,BTS,6/9/2023,3461,23.2,259288333,9472,17478821,69,40948018,2324228,432500,93022348,503776050,,36,10787,18,1416625,486,,320367
Water (Remix),Water (Remix) - Single,Tyla,11/17/2023,3473,23.2,51588608,14616,7031379,,,,28200,1366281,18843138,,28,23379,12,2832393,1084,346063,274717
You Know You Like It,You Know You Like It,DJ Snake,10/14/2014,3465,23.2,506083686,88997,19591325,65,191257884,1917299,22248,8081963,53859932,17749865,105,20173,16,359711385,126499,51994371,14034296
Bom Diggy,Bom Diggy - Single,Zack Knight,8/24/2017,3464,23.2,55362558,9861,2598056,46,1292844409,5695565,75620,3354781,45939694,158638266,3,495,,,,,480815
Mati-Matian,Mati-Matian - Single,Mahalini,3/29/2024,3472,23.2,52510463,992,9607115,76,27329009,200501,,,,,9,746,,,,,12270
Live Another Day,Phonkageddon,Kordhell,8/27/2021,3470,23.2,283108875,69176,20246527,66,147447678,1916013,115000,93038797,1067856594,56188,14,1,1,2893729,1198,,1365064
Ana Ghaltan,Cigara,Bahaa Sultan,12/27/2021,3468,23.2,8316794,1342,217990,47,,,173,15714,307818,,,631,,,,46825425,8447
Sexo Virtual,VICE VERSA,Rauw Alejandro,6/25/2021,3460,23.2,293361823,61096,10057845,66,141862016,1051171,678500,156741590,1336043098,8383884,58,1054,2,7467616,1862,,717742
"Nï¿½ï¿½o, Nï¿½",Piseiro Sofrï¿½ï¿½,Mari Fernandez,4/29/2021,3469,23.2,158404124,19033,5413126,51,156298379,1025633,2418608,89218584,927182106,218620029,32,5312,4,1380,4,27099,
ıı ıııııııı ıııııııııı,ıı ıııııııı ıııııııııı,Moreart,12/4/2020,3475,23.2,60358583,32582,1788403,50,43371351,749082,3001121,650159397,8680132146,994101,4,340,3,2287886,1511,,3413948
Chasin' You,If I Know Me,Morgan Wallen,4/27/2018,3466,23.2,609984789,66397,14589013,74,255780709,1101498,91600,18502723,142412314,400499073,43,162999,12,231456245,81165,,1494580
Ali Cabbar,Parti ï¿½ï¿½,Emir Can ï¿½ï¿½ï,6/2/2023,3467,23.2,63442980,10414,1765706,58,127252829,552569,84400,3171710,108671025,4788783,7,4502,,,,,224773
Clouds,Clouds - Single,BUNT.,1/12/2023,3459,23.2,149986283,48038,50298372,63,9500978,157127,369,686653,13195696,5469007,31,11060,11,2277841,391,,668816
Let Your Boys Be Country,Let Your Boys Be Country,Jason Aldean,8/25/2023,3456,23.2,21485335,4032,1727967,1,5878965,68296,7812,786980,9858141,151380225,9,85293,11,28859182,1470,242451,92321
Spin You Around (1/24),Spin You Around (1/24),Morgan Wallen,1/26/2024,3453,23.2,77564567,7109,6908240,,,,,,,,23,4805,15,18934813,5191,156552,115609
Solo Me Dejaste,Solo Me Dejaste,Grupo Marca Registrada,7/8/2022,3454,23.2,175374235,19506,8147122,66,236220298,1251377,32800,18078777,146435027,,4,104,,12750592,2203,,460868
Like I'm Gonna Lose You (feat. John Legend),Title (Deluxe),Meghan Trainor,1/9/2015,3457,23.2,1060255231,88246,45330466,71,950074212,5331921,639780,19939783,196304893,200462207,117,54682,23,,,,8460234
"Don't Give Up On Me - (From ""Five Feet Apart"")Don't Give Up On Me (From ""Five Feet Apart"")",Andy Grammer,2/13/2019,3463,23.2,509011250,72182,9700882,67,220773540,2241242,195726,94397647,685543612,40401043,31,9535,1,127404246,79212,12271237,3377256
Jingle Bell Rock,"Essential Classics, Vol. 141: Bobby Helms",Bobby Helms,11/3/2023,3478,23.1,964357785,2,21523,,,,,,,,,,,,,,
Talk Dirty (feat. 2 Chainz),VTM Kzoom Hits Best Of 2013,Jason Derulo,1/1/2013,3489,23.1,718634962,116033,31380421,65,88651556,872188,220691,63662766,429272415,30042463,64,49011,11,524355500,700893,,14696611
Nail Tech,Nail Tech,Jack Harlow,2/18/2022,3497,23.1,224376030,65837,16010323,56,67524036,880646,28152,15485348,205572867,491741705,28,28104,9,10975482,3861,,581658
Lahore,Kultural Inkursions,Guru Randhawa,7/27/2018,3496,23.1,77999,96,7682,,1174983850,6804449,,433,6457,166548749,,,,,,,
The Summoning,The Summoning - Single,Sleep Token,1/6/2023,3484,23.1,135976140,41454,4335379,69,37952419,465940,3074,1344946,14785534,6852259,22,3782,2,2998363,3325,861468,390413
Feel It Still,Woodstock,Portugal. The Man,6/15/2017,3492,23.1,1303018999,239,18020,26,,,,,,,309,,4,677785992,228376,,21207408
TROLLZ (with Nicki Minaj),TROLLZ (with Nicki Minaj),6ix9ine,6/12/2020,3481,23.1,169376113,37282,5544584,2,485978356,7474199,481594,84039891,728033853,309404629,12,5773,,4875023,8123,,1192023
Cover Me Up,Cover Me Up,Morgan Wallen,4/5/2019,3499,23.1,457252350,58811,6992809,70,284333103,1250573,152118,25018657,226942604,162713583,14,946,7,189236636,95208,5855288,821584
Un Verano Sin Ti,Un Verano Sin Ti,Bad Bunny,5/6/2022,3495,23.1,360149048,49439,8856237,69,94595491,955663,32000,21771827,154135701,31810445,11,681,2,14011928,17893,,290721
Mi Morenita,Mi Morenita - Single,Grupo Marca Registrada,5/24/2024,3494,23.1,8104357,456,36732009,68,9180171,67291,,,,,3,,,,,,23137
Get A Guitar,Get A Guitar,RIIZE,9/4/2023,3485,23.1,67887030,5721,6337730,,106807094,1208052,32698,61647208,430468374,617159135,7,1289,10,49008,152,,170700
Heat,Heat (feat. Gunna),Gunna,6/20/2019,3486,23.1,174090982,34958,4874126,55,353442033,2306325,47184,2178301,26278533,58837438,31,117118,12,227151889,70080,,2095650
Birds In The Sky,Birds In The Sky - Single,New Era,12/8/2023,3480,23.1,21664308,2953,13358420,,,,,,,,22,7422,31,,,7548568,126086
I Was Never There,"My Dear Melancholy,",The Weeknd,3/29/2018,3488,23.1,995463505,139596,44549966,78,283348553,3003483,32188,23839570,175752903,4107073,28,283,,18564718,7254,,3364449
How You Feel (Ft. Leven Kali),How You Feel (Ft. Leven Kali),ANOTR,4/19/2024,3490,23.1,9591249,4565,35057668,,339265,6058,,,,,16,3654,36,4695,19,226016,80244
Hang Tight Honey,Hang Tight Honey,Lainey Wilson,5/13/2024,3482,23.1,2378738,544,2536543,,261611,5555,,,,,12,11504,37,2043207,278,,31828
Bar,Bar,TINI,11/11/2021,3487,23.1,231155441,33491,8783650,54,314218837,1831905,155,4004,72618,55444647,22,6476,11,142174,205,,313366
ıııııııııııııııııııııııııııııııııııı,ıııııııııııııııııııııııııııııııııııı,YOUNGOHM,1/25/2023,3498,23.1,17745591,2837,283039,47,172379457,1396751,583900,62524027,749416523,,6,32,,,,,62461
Case,Ghost,Diljit Dosanjh,9/29/2023,3479,23.1,48353674,7078,4725307,,97635698,720820,,357879,5805614,30508935,8,369,7,66498,64,,69548
Apa Fer Milaange,Apa Fer Milaange,Savi Kahlon,12/15/2023,3491,23.1,29171226,1511,3365447,,84972873,1156897,,,,182268973,1,,8,,,,
Socadona (feat. Mr. Vegas),Socadona (feat. Mr. Vegas),LUDMILLA,11/18/2021,3493,23.1,74338196,12229,3938315,45,85204123,792210,2417878,167650207,2134165382,428427646,18,2717,9,183,,,203455
As It Was,As It Was - Single,Hundreds,3/24/2023,3483,23.1,479006,111,76454,30,236027939,2149041,,,,7225289,1,161,,,,,
Humpty Dumpty,60 Nursery Rhyme Songs,Nursery Rhymes,2/18/2014,3524,23,,342,115537,1,2049579300,2525179,,,,162444563,,,,,,,
Sial,fï¿½ï¿½,Mahalini,1/23/2023,3525,23,324327622,13022,4228094,75,97061421,500989,449308,131329737,1614389086,45212529,8,5387,,,,,97349
Pelele,Pelele,Morad,12/24/2021,3508,23,153262121,62043,3300200,64,105229861,923515,360974,61225741,777095126,95438,11,4605,5,6486,,,631030
"Ishq Jaisa Kuch (From ""Fighter"")Ishq Jaisa Kuch (From ""Fighter"")",Vishal-Shekhar,12/22/2023,3519,23,26192177,1252,1466065,,83675431,568393,,,,331489524,6,799,13,,,,53388
CAROLINA,MAï¿½ï¿½ANA SERï¿½ï¿,KAROL G,2/24/2023,3517,23,89487508,7595,3622886,66,64767621,301091,896706,29472860,466245707,1327214,5,310,8,6070386,1591,,186834
Krippy Kush,Krippy Kush,Farruko,8/4/2017,3500,23,261207310,29638,8623457,56,1008664592,6613034,236451,36410655,251282695,158479261,31,2716,22,71133130,53108,,1577890
Do It,VULTURES 1,Kanye West,2/9/2024,3503,23,58509914,11523,11610664,,971307,26740,,7537500,62692000,,3,2925,,,,,92765
Mtg Quero Te Encontrar,Mtg Quero Te Encontrar,DJ LG PROD,2/23/2024,3518,23,95980260,6191,39878495,79,16013821,177114,,,,1136738,7,,18,,,,24463
Umbrella (with 21 Savage & Young Nudy),HEROES & VILLAINS,Metro Boomin,12/2/2022,3521,23,134971918,58239,5643840,64,8374578,77621,5871,5401097,34056492,,5,248,5,2207651,597,,
Cuaderno,Climaxxx,Dalex,5/10/2019,3511,23,415170963,57071,15542644,63,618739499,3018799,106464,10874942,72178937,27037557,54,2681,4,8770761,3632,,882993
Leja Re,Leja Re,Dhvani Bhanushali,11/24/2018,3504,23,64612903,7444,1576312,55,1035234284,6201188,,1418,8550,95977596,7,225,2,,,,136790
Pï¿½ï¿½i,Pï¿½ï¿½i naa - Si,Babasha,6/1/2024,3522,23,881858,75,194541,53,7429733,106911,,,,,1,,,,,,11206
Paro - Speed Up,Paro (Speed Up),Nej,5/20/2021,3512,23,92866817,20834,6538674,53,510081,8586,3196641,483475908,6637149421,,3,3,,,,,1728511
"Burn, Burn, BurnBurn, Burn, Burn",Zach Bryan,9/8/2022,3501,23,261905370,42715,5866774,75,23316855,136558,12980,2406657,16825671,19844,14,45,16,20283919,8607,4272052,345080
Girl,Easy Money Baby,Myke Towers,1/24/2020,3523,23,358885100,66574,10919097,70,386760006,2110339,256873,40681006,384081312,20323581,35,8648,8,12496355,6427,,921816
Saving Up,Saving Up,Dom Dolla,10/6/2023,3516,23,68053989,21585,55905413,,1482245,22209,7007,3086204,48264636,1223,34,273,22,375025,411,1458301,337132
The Way Life Goes (feat. Oh Wonder),Luv Is Rage 2,Lil Uzi Vert,8/25/2017,3505,23,973400151,172881,24951320,74,320288878,2792426,101201,14078490,83669477,26594177,2,487,1,,,,
Headshot (feat. Polo G & Fivio Foreign),Headshot,Lil Tjay,3/19/2021,3502,23,331506695,116321,15413876,65,22151531,381423,24736,13454627,89324319,3032466,38,4038,3,9501580,5239,,363790
"Gali Gali (From ""Kgf Chapter 1"")Gali Gali (From ""Kgf Chapter 1"")",Neha Kakkar,12/13/2018,3515,23,74027513,5648,3808001,59,1014261335,4638798,,,,105077396,1,1310,2,,,,168398
LLYLM,LLYLM,ROSALï¿½,1/27/2023,3513,23,163400564,25380,8516973,60,37506561,368510,14073,8297832,107127704,58633125,75,70787,33,773952,,,1343247
Levels,Levels (feat. Sunny Malton),Sidhu Moose Wala,5/25/2022,3510,23,146988095,16234,2550626,59,262992730,4331524,274492,4894124,69189680,826816,8,259,3,99964,,,366308
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) - Boaz van de Beatz remixHey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) [Boaz van de Beatz remix]",Boaz van de Beatz,6/5/2015,3506,23,24407534,2389,473657,29,1753379058,9702237,,,,297504743,,,,,,,
If You're Happy and You Know It (Clap Your Hands),Circle Time Singalong,CoComelon,6/10/2022,3514,23,433037,120,15324,20,386932138,889910,,,,34561,4,1,,418696,737,,
La player (Bandolera),La Player (Bandolera),Zion & Lennox,2/23/2018,3520,23,603009543,60339,19082403,65,752863338,1897331,25591,2655600,33166882,107154352,33,13214,42,45328272,9771,386024,1628610
ART,TYLA,Tyla,3/1/2024,3507,23,46863836,3984,25998283,,17633827,366176,,164042,2574072,135441443,45,5608,69,2186273,832,,221323
Let's Love,Let's Love,Sia,9/11/2020,3509,23,222571023,44252,11141387,57,68547283,647482,851690,20613081,221346418,13295182,102,229947,22,1541516,605,,5019153
DASH,Fe3O4: BREAK,NMIXX,1/15/2024,3530,22.9,40620097,2870,8114713,11,59080794,673001,,211047,1553400,564484545,7,940,15,82843,88,,47823
On My Mind,On My Mind,Diplo,12/13/2019,3526,22.9,287897439,146593,20526230,60,68649223,853541,175051,126561681,855075576,11842376,74,27171,21,7837045,6109,,1261710
Vampiro,Vampiro,Matuï¿,3/29/2022,3527,22.9,250112783,37790,7871652,67,207570990,2206717,77011,12026795,81406851,27177813,18,250,5,,,,124505
Another Late Night (feat. Lil Yachty),For All The Dogs,Drake,10/6/2023,3535,22.9,61355849,24182,4216247,,11131343,254050,5211,1366663,16120565,191669953,2,276,,636999,476,,141072
Fire - Official UEFA EURO 2024 Song,Fire (Official UEFA EURO 2024 Song),MEDUZA,5/10/2024,3542,22.9,10114922,1567,19516267,74,,,,,,,38,7781,93,317663,14,33779,97199
Delincuente,Delincuente,Tokischa,8/19/2022,3541,22.9,190095480,35863,12100534,68,83772680,753857,358618,88295849,801557207,65010,17,256,,2203900,2615,,1258357
Never Lose Me (feat. SZA & Cardi B),"Fine Ho, Stay",Flo Milli,3/15/2024,3531,22.9,30301728,2993,12990773,,,,,,,,34,13668,57,5212163,1607,707782,165367
